Year,College Code,Branch Code,Caste,Mark
2017,1,AI,OC,196.25
2017,1,AI,BC,195.25
2017,1,AI,BCM,193.25
2017,1,AI,MBC,194.25
2017,1,AI,SC,188.75
2017,1,AI,SCA,185.75
2017,1,AI,ST,175.25
2017,1,BY,OC,198.25
2017,1,BY,BC,197.5
2017,1,BY,BCM,197.25
2017,1,BY,MBC,196.5
2017,1,BY,SC,193.0
2017,1,BY,SCA,191.75
2017,1,BY,ST,188.0
2017,1,CE,OC,198.5
2017,1,CE,BC,198.0
2017,1,CE,BCM,197.5
2017,1,CE,MBC,197.5
2017,1,CE,SC,196.0
2017,1,CE,SCA,193.5
2017,1,CE,ST,196.0
2017,1,CM,OC,199.0
2017,1,CM,BC,198.75
2017,1,CM,BCM,199.0
2017,1,CM,MBC,197.75
2017,1,CM,SC,193.5
2017,1,CM,SCA,190.5
2017,1,CM,ST,193.33
2017,1,CS,OC,199.75
2017,1,CS,BC,199.5
2017,1,CS,BCM,199.5
2017,1,CS,MBC,199.0
2017,1,CS,SC,197.5
2017,1,CS,SCA,196.25
2017,1,CS,ST,193.75
2017,1,EC,OC,200.0
2017,1,EC,BC,199.75
2017,1,EC,BCM,199.75
2017,1,EC,MBC,199.25
2017,1,EC,SC,198.25
2017,1,EC,SCA,197.0
2017,1,EC,ST,190.25
2017,1,EE,OC,199.25
2017,1,EE,BC,199.0
2017,1,EE,BCM,198.5
2017,1,EE,MBC,198.75
2017,1,EE,SC,196.5
2017,1,EE,SCA,197.0
2017,1,EE,ST,193.25
2017,1,EM,OC,199.25
2017,1,EM,BC,199.0
2017,1,EM,BCM,198.0
2017,1,EM,MBC,198.5
2017,1,EM,SC,195.5
2017,1,EM,SCA,194.5
2017,1,EM,ST,189.0
2017,1,GI,OC,196.75
2017,1,GI,BC,196.0
2017,1,GI,BCM,194.0
2017,1,GI,MBC,194.75
2017,1,GI,SC,188.75
2017,1,GI,SCA,186.25
2017,1,GI,ST,
2017,1,IE,OC,196.5
2017,1,IE,BC,196.0
2017,1,IE,BCM,195.5
2017,1,IE,MBC,194.25
2017,1,IE,SC,186.75
2017,1,IE,SCA,184.0
2017,1,IE,ST,
2017,1,IM,OC,198.5
2017,1,IM,BC,198.0
2017,1,IM,BCM,197.75
2017,1,IM,MBC,197.0
2017,1,IM,SC,191.5
2017,1,IM,SCA,184.5
2017,1,IM,ST,172.0
2017,1,MA,OC,196.0
2017,1,MA,BC,195.5
2017,1,MA,BCM,194.75
2017,1,MA,MBC,194.25
2017,1,MA,SC,184.0
2017,1,MA,SCA,179.75
2017,1,MA,ST,
2017,1,ME,OC,199.25
2017,1,ME,BC,199.0
2017,1,ME,BCM,198.5
2017,1,ME,MBC,198.25
2017,1,ME,SC,196.5
2017,1,ME,SCA,196.5
2017,1,ME,ST,190.75
2017,1,MI,OC,197.0
2017,1,MI,BC,196.0
2017,1,MI,BCM,193.25
2017,1,MI,MBC,195.0
2017,1,MI,SC,188.75
2017,1,MI,SCA,191.0
2017,1,MI,ST,
2017,1,MN,OC,197.25
2017,1,MN,BC,196.5
2017,1,MN,BCM,196.75
2017,1,MN,MBC,195.5
2017,1,MN,SC,187.0
2017,1,MN,SCA,193.0
2017,1,MN,ST,
2017,1,PT,OC,195.0
2017,1,PT,BC,194.25
2017,1,PT,BCM,190.75
2017,1,PT,MBC,192.5
2017,1,PT,SC,183.75
2017,1,PT,SCA,180.25
2017,1,PT,ST,164.5
